MSRR7015 Wire - Nimonic,Nimonic 9016,UK.609
High Heat,(PL 82 R1),UK.261,
Resisting,MSRR 9040,NA.2,
Touch-Up Enamel,,,
Aluminium,,,
"_________________________________________________________________________________",,,
MSRR9040 Air Drying,IP 9138,UK.10,
High Heat,(R1 Aerosol),UK.261,
Resisting,MSRR 9040,NA.2,
Enamel,,,
Aluminium,,,
"_________________________________________________________________________________",,,
MSRR9041 Yellow marking,PL 168R1,UK.10,7/84
"paint, water",MSRR 9041,UK.261,
based,,NA.2,
"_________________________________________________________________________________",,,
MSRR9041 Heat resisting,PL.149,UK.10,7/110A
marking paint,(white),UK.261,
"",MSRR 9041,NA.2,
"_________________________________________________________________________________",,,
MSRR9041 Heat resisting,PL.150 R1,UK.10,7/110B
marking paint,(green),UK.261,
"",MSRR 9041,NA.2,
MSRR9041 Heat resisting,PL.152/R1,UK.10,7/110C
marking paint,(black),UK.261,
"",MSRR 9041,NA.2,
"________________________________________________________________________________",,,
MSRR9041 Heat resisting,PL.153,UK.10,7/110D
marking paint,(grey),UK.261,
"",MSRR 9041,NA.2,
"________________________________________________________________________________",,,
MSRR9041 Heat resisting,PL.155-R1,UK.10,7/110E
marking paint,(orange),UK.261,
"",MSRR 9041,NA.2,
"________________________________________________________________________________",,,
MSRR9041 Heat resisting,PL.151,UK.10,7/110F
marking paint,(blue),UK.261,
"",MSRR 9041,NA.2,
"________________________________________________________________________________",,,
MSRR9041 Heat resisting,PL.167-R1,UK.10,7/110G
marking paint,(red),UK.261,
"",MSRR 9041,NA.2,
"________________________________________________________________________________",,,
MSRR9042 Adhesive-Epoxy,NML 76,UK.10,8/208
paste,MSRR 9042,UK.261,
"",,NA.2,
"________________________________________________________________________________",,,
MSRR9042 Nylon flock,WNC/4,UK.10,896
"",(MSRR 9042),LOCAL,
"",(MSRR 9880/5,,
"",R-R code JBU),,
"________________________________________________________________________________",,,
MSRR9042 Adhesive epoxy,Rengel SV 409,UK.48,
paste,Refer to MSRR,,
"",9026 also,,
"________________________________________________________________________________",,,
MSRR9042 Adhesive epoxy,Crayamid 140,UK.328,
paste,Refer to MSRR,,
"",9026 also,,
"________________________________________________________________________________",,,
MSRR9048 Glass fabric,Tyglass,UK.106,
"",Y0383/205-T5,,
"________________________________________________________________________________",,,
MSRR9049 Fibreglass,Tyglas,UK.106,887
cloth,Y0314/205,UK.10,
"",0.003in.,,
"","(0,076 mm.)",,
"",(MSRR 9049),,
MSRR9054 Mica Filled,PL.95 R1,UK.10,773
Coating,(MSRR 9054),UK.261,
"",(R-R code YBP),NA.2,
"_________________________________________________________________________________",,,
MSRR9055 Jointing,Hylomar PL32,UK.7,4/46
compound,(Light),UK.10,
"",MSRR 9055,UK..6,
"",DTD 900/4586,UK.261,
"",,UK.517,
"",,NA.2,
"_________________________________________________________________________________",,,
MSRR9055 Jointing,Hylomar PL32A,UK.7,4/46A
compound,(Light),UK.10,
"",MSRR 9055,UK.6,
"",,UK.261,
"",,UK.517,
"",,NA.2,
"_________________________________________________________________________________",,,
MSRR9055 Jointing,Hylomar PL32,UK.7,4/47
compound,(medium),UK.10,
"",MSRR 9055,UK.6,
"",DTD 900/4586,UK.261,
"",,UK.517,
"",,NA.2,
"_________________________________________________________________________________",,,
MSRR9055 Jointing,Hylomar PL32A,UK.7,4/47A
compound,(Medium),UK.10,
"",MSRR 9055,UK.6,
"",,UK.261,
"",,UK.517,
"",,NA.2,
"_________________________________________________________________________________",,,
MSRR9055 Jointing,Hylomar PL32,UK.7,4/48
compound,(heavy),UK.10,
"",MSRR 9055,UK.6,
"",DTD 900/4586,UK.261,
"",,UK.517,
"",,NA.2,
"_________________________________________________________________________________",,,
MSRR9057 Bronze filled,Le Carbone,UK.602,
carbon composite,JP562,,
"",R-R code XAG,,
MSRR9064 Self-Etch,Base PR 30B,UK.10,774
Primer Two Pack,Catalyst TH 34B,UK.163,
"",Spray reducer T,NA.129,
"",105,,
"",(MSRR 9064),,
"________________________________________________________________________________",,,
MSRR9064 Catalyst for,ACT 149,UK.10,7/248
Chromate Primer,,UK.163,
"",,NA.129,
"________________________________________________________________________________",,,
MSRR9064 Thinners for,T 105,UK.10,781
Self Etch,(MSRR 9064),UK.163,
Primer,(MSRR 1006),,
"________________________________________________________________________________",,,
MSRR9064 Two-pack Epoxy,Base EC96/356,UK.10,799C
Finish Yellow,Gloss Catalyst,UK.163,
and Catalyst,"ACT 196,",NA.129,
BSC381:No356,or Matt,,
"",Catalyst ACT,,
"",199,,
"",MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Two-Pack Epoxy,Base EC96/538,UK.10,792C
"Finish, Red",Gloss Catalyst,UK.163,
BS381C:No538,ACT 196 or,NA.129,
"",Matt catalyst,,
"",ACT 199,,
"",MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Two-Pack Epoxy,Base EC96/693,UK.10,789C
"Finish, Grey,",Gloss Catalyst,UK.163,
Aircraft.,"ACT 196,",NA.129,
BS381C:693,or Matt,,
"",Catalyst ACT,,
"",199,,
"",MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Two Pack Epoxy,Base EC96/801,UK.10,7/171C
"Finish, Matt",Matt black,UK.163,
Black,Catalyst ACT,NA.129,
"",199,,
"",MSRR 9064,,
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
MSRR9064 Two Pack Epoxy,PR 205 Base,UK.10,766G
Primer and,ACT 205,UK.163,
Catalyst,Catalyst,,
"(Chromate)",MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Two-Pack Epoxy,Base EC75/801,UK.10,788
Gloss Finish,Black,UK.163,
Black and,Gloss Catalyst,NA.129,
Catalyst,ACT 65,,
"",MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Two pack epoxy,Base EC75/801,UK.10,7/171
"Finish, Matt",Matt black,UK.163,
Black,Catalyst ACT 68,NA.129,
"",(DTD5555A),,
"",(MSRR 9064),,
"________________________________________________________________________________",,,
MSRR9064 Two-pack epoxy,Base,UK.10,7/144
Finish,EC75/C6615,UK.163,
"",Aluminium 30P,NA.129,
"",(Bright),,
"",Gloss Catalyst,,
"",ACT 65 or,,
"",Matt Catalyst,,
"",ACT 68,,
"",MSRR 9064,,
"________________________________________________________________________________",,,
"MSRR9064 Enamel, Two-Pack",Base EC75/TN186,UK.10,7/39
"Epoxy Finish,",Aluminium 30N,UK.163,
Aluminium and,Gloss Catalyst,NA.129,
Catalyst,"ACT 65, or",,
"",Matt Catalyst,,
"",ACT 68,,
"",MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Two-Pack Epoxy,Base EC75/693,UK.10,789
"Finish ,Grey,",Gloss Catalyst,UK.163,
Aircraft.,ACT 65 or,NA.129,
BS381C:693,Matt Catalyst,,
"",ACT 68,,
"",MSRR 9064,,
""
""
"",
""
""
""
""
""
""
""
""
""
""
MSRR9064 Two-Pack Epoxy,Base EC75/217,UK.10,791
Green,Gloss Catalyst,UK.163,
"","ACT 65,",NA.129,
"",or Matt,,
"",Catalyst ACT 68,,
"",MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Two-Pack Epoxy,IP9064/2170,UK.10,791A
Green,IP9064/CAT,UK.261,
"",(MSRR 9064),NA.2,
"________________________________________________________________________________",,,
MSRR9064 Two Pack Epoxy,Base EC75/R8016,UK.10,7/256
Clear Enamel,Gloss Catalyst,UK.163,
"",ACT 65 or,NA.129,
"",Matt Catalyst,,
"",ACT 68,,
"________________________________________________________________________________",,,
MSRR9064 Two-Pack Epoxy,Base component,UK.10,790
Finish Clear,EC75/C9071,UK.163,
and Catalyst,Gloss Catalyst,NA.129,
"",ACT 65 or,,
"",Matt Catalyst,,
"",ACT 68,,
"",MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Catalyst for Matt ACT 68,,UK.10,7/249
Enamels,(MSRR 9064),UK.163,
"",,NA.129,
"________________________________________________________________________________",,,
MSRR9064 Catalyst for,ACT 65,UK.10,7/250
Gloss Enamels,(MSRR 9064),UK.163,
"________________________________________________________________________________",,,
"MSRR9064 Thinners, for",T17,UK.10,793
Two-Pack Epoxy,MSRR 9064,UK.163,
Finishes,,NA.129,
"________________________________________________________________________________",,,
MSRR9064 Two-Pack Epoxy,IP9064/6362,UK.10,766A
Primer and,Base +,UK.261,
Catalyst,IP9064/CAT,NA.2,
"",MSRR 9064,,
MSRR9064 Self-Etch,IP9064/4853,UK.10,774A
Primer Two Pack,Etch primer,UK.261,
"",+,NA.2,
"",Catalyst,,
"",IP9064/4854,,
"",spray reducer,,
"",IP9064/TDXL,,
"",MSRR 9064,,
"_________________________________________________________________________________",,,
MSRR9064 Thinners for,IP9064/TDXL,UK.10,781A
Self Etch,Etch Primer,UK.261,
Primer,Thinners,NA.2,
"",MSRR 9064,,
"_________________________________________________________________________________",,,
MSRR9064 Catalyst for,IP9064/CAT,,
epoxy chromate,,,
"primer, and",,,
enamels,,,
"_________________________________________________________________________________",,,
"MSRR9064 Thinners, for",IP9064 Thinners,UK.10,793A
Two-Pack Epoxy,(IP 9064/THIN),UK.261,
Finishes,(MSRR 9064),NA.2,
"_________________________________________________________________________________",,,
MSRR9064 Primer Base,Base,UK.10,7/237
Chromate Dark,IP9064/5555 +,UK.261,
Green,catalyst,NA.2,
"",IP9064/CAT,,
"",MSRR 9064,,
"_________________________________________________________________________________",,,
MSRR9064 Two-Pack Epoxy,IP9064/CLEAR +,UK.10,790A
Finish Clear,IP9064/CAT.,UK.261,
and Catalyst,MSRR 9064,NA.2,
"_________________________________________________________________________________",,,
MSRR9064 Two-Pack Epoxy,IP9064/0000 +,UK.10,795A
Finish White,IP9064/CAT,UK.261,
and Catalyst,MSRR 9064,NA.2,
"_________________________________________________________________________________",,,
MSRR9064 Two Pack Epoxy,Base,UK.40,7/238
Light Admiralty,IP9064/0946 +,UK.10,
Grey Gloss Enamel catalyst,,UK.261,
BS381C No 697,IP9064/CAT,NA.2,
"",MSRR 9064,,
MSRR9064 Two-Pack Epoxy,Base,UK.10,789A
"Finish, Aircraft",IP9064/6930 +,UK.261,
Grey Enamel,Catalyst,NA.2,
Gloss,IP9064/CAT,,
BS381C:693,MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Two-Pack Epoxy,Base,UK.10,7/186
Finish Aircraft,IP9064/6933 +,UK.261,
Matt Grey Enamel,Catalyst,NA.2,
"",IP9064/CAT/M,,
"",MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Two Pack Epoxy,Base,UK.10,7/239
Gloss Black,IP9064/9000 +,UK.261,
Enamel,catalyst,NA.2,
BS381C No 000,IP9064/CAT,,
"",MSRR 9064,,
"________________________________________________________________________________",,,
"MSRR9064 Enamel, Two-Pack",IP9064/8000 +,UK.10,7/39A
"Epoxy Finish,",IP9064/CAT,UK.261,
Aluminium and,MSRR 9064,NA.2,
Catalyst,,,
"________________________________________________________________________________",,,
MSRR9064 Two pack epoxy,IP9064/9003 +,UK.10,7/171A
"finish, Matt",IP9064/CAT,UK.261,
black,MSRR 9064,NA.2,
"________________________________________________________________________________",,,
MSRR9064 Two-Pack Epoxy,IP9064/1100 +,UK.10,7/30A
"Finish, Blue",IP9064/CAT,UK.261,
BSC 381C.110,MSRR 9064,NA.2,
"________________________________________________________________________________",,,
MSRR9064 Two-Pack Epoxy,IP9064/3560 R1,UK.10,799A
Finish Yellow,+,UK.261,
and Catalyst,IP9064/CAT,NA.2,
BSC381:No356,MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Two-Pack Epoxy,IP9064/5380 R1,UK.10,792A
"Finish, Red",+,UK.261,
BS381C:No538,IP9064/CAT,NA.2,
"",MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Two-pack Epoxy,Anodising,UK.261,
"",aluminium,,
"","match,",,
"",IP9064/1987,,
""
""
""
"",
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
MSRR9064 Two-pack epoxy,Base IP3/8010 +,UK.10,7/144B
Bright Aluminium,Catalyst,UK.261,
Enamel Finish,IP3/CAT,NA.2,
"",MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Touch-up MSRR,IP9064/9226 +,UK.10,7/241
9226,catalyst,UK.261,
"",IP9064/CAT,NA.2,
"",MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9064 Catalyst for Matt IP9064/CAT/M,,UK.10,7/235
Enamels,MSRR 9064,UK.261,
"",,NA.2,
"________________________________________________________________________________",,,
MSRR9064 Epoxy Paint,IP9064/10A03,UK.10,7/160A
Light Grey,IP9064/CAT,UK.261,
Finish,MSRR 9064,NA.2,
"(Flake Grey)",,,
"________________________________________________________________________________",,,
MSRR9064 Two Pack Epoxy,IP-FP-8000,UK.10,7/269
Fire Retardant,(MSRR 9064),UK.261,
Silver Top coat,,NA.2,
"________________________________________________________________________________",,,
MSRR9064 Two-pack epoxy,IP9064/8010 +,UK.10,7/144A
Bright Aluminium,IP9064/CAT,UK.261,
Enamel Finish,MSRR 9064,NA.2,
"________________________________________________________________________________",,,
MSRR9064 Epoxy,PRIMER BASE,UK.163,
"",PR143,NA.129,
"",MSRR 9064,,
"________________________________________________________________________________",,,
MSRR9072 Primer,NML 52,UK.10,7/82
"",(MSRR 9072),UK.6,
"",,UK.261,
"",,UK.517,
"",,NA.2,
"________________________________________________________________________________",,,
MSRR9073 Moulded carbon,Le Carbone,UK.602,
"composite,",JP845,,
phenolic resin,R-R code XAJ,,
impregnated,,,
"________________________________________________________________________________",,,
MSRR9074 Bronze (30,Le Carbone,UK.602,
percent) filled,JP862,,
carbon composite,R-R code XAK,,
MSRR9085 Cold curing,Silcoset 151,UK.10,843B
silicone,MSRR 9085,UK.6,
compound,,UK.175,
white,,UK.261,
"",,UK.443,
"",,UK.517,
"",,NA.2,
"_________________________________________________________________________________",,,
MSRR9092 Honeycomb Nomex,Hexweb A1-64-3,UK.10,8/248
"",MSRR 9092,UK.48,
"",(cell size 1/8,UK.453,
"",inch),UK.454,
"",,NA.176,
"_________________________________________________________________________________",,,
MSRR9096 Nomex honeycomb,A1-23-19,UK.48,
"",slotted,UK.453,
"_________________________________________________________________________________",,,
MSRR9103 Primer for,Silcoset,UK.10,873
silcoset series,primer,UK.6,
101,MSRR 9103,UK.175,
"",,UK.261,
"",,UK.443,
"",,UK.517,
"",,NA.2,
"_________________________________________________________________________________",,,
MSRR9117 Two-part cold,Silcoset 101,UK.10,879
curing silicone,(MSRR 9117),UK.6,
rubber,,UK.175,
"",,UK.261,
"",,UK.443,
"",,UK.517,
"",,NA.2,
"_________________________________________________________________________________",,,
MSRR9126 Plain weave,Y0094/205,UK.10,8/115
"'E' glass",0.15 mm (0.006,UK.106,
fabric,in.) nominal,Local,
"",thickness,,
"",MSRR 9126,,
"",BS3396-1966,,
"",Part 1 Type,,
"",P6/22,,
MSRR9133 Adhesive,Bostik 1777,UK.10,818
"",(MSRR 9133),UK.6,
"",,UK.133,
"",,UK.224,
"",,UK.261,
"",,UK.517,
"",,UK.589,
"",,NA.19,
"",,NA.2,
"________________________________________________________________________________",,,
MSRR9134 Surface,PL 165,UK.10,7/136
Protection Paint,(Polyimide,UK.163,
Coating,Type Paint),NA.129,
"(Aluminium)",MSRR 9134,,
"________________________________________________________________________________",,,
MSRR9134 Surface,IP 9134,UK.10,7/136A
Protection Paint,MSRR 9134,UK.261,
Coating,,NA.2,
"(Aluminium)",,,
"________________________________________________________________________________",,,
MSRR9134 Surface,IP 9134-R1,UK.10,7/136B
Protection Paint,MSRR 9134,UK.261,
Coating,,NA.2,
"(Aluminium)",,,
"________________________________________________________________________________",,,
MSRR9134 Thinners for,T214,UK.10,7/137
polyimide paints,(MSRR 9134),UK.163,
"",,NA.129,
"________________________________________________________________________________",,,
MSRR9134 Thinners for,S30,UK.261,
Polyimide Paints,,,
"________________________________________________________________________________",,,
MSRR9135 Flashcoat,PL45,UK.10,722
Aluminium,MSRR 9135,UK.261,
"",,NA.2,
"________________________________________________________________________________",,,
MSRR9137 Synthetic Rubber,Pliobond 20,UK.590,
Resin Adhesive,Bonding paste,UK.517,
"",,UK.6,
"________________________________________________________________________________",,,
MSRR9140 Corrosion,SermeTel W,UK.10,7/46
Resistant,(MIL-C-81751),NA.208,
Coating,MSRR9140,,
""
""
""
""
""
""
""
""
""
"",
""
""
""
""
"",
""
""
MSRR9142 Cleaning fluid,S30,UK.10,7/96A
and Thinners,(MSRR 9142),UK.261,
"",,NA.2,
"________________________________________________________________________________",,,
MSRR9142 Surface,PL 163 Clear,UK.10,7/134
Protection Paint,MSRR 9142,UK.261,
Coating,(6965/C8000),NA.2,
"________________________________________________________________________________",,,
MSRR9142 Surface,PL 163A Black,UK.10,7/134A
Protection Paint,MSRR 9142,UK.261,
Coating,,NA.2,
"________________________________________________________________________________",,,
MSRR9142 Surface,High Viscosity,UK.10,7/260
Protection Paint,Brushing Grade,UK.261,
Coating,PL 163,NA.2,
"",MSRR 9142,,
"________________________________________________________________________________",,,
MSRR9144 Polysulphide,PR 1422B-2,UK.10,8/136
compound,Two pack mix,UK.6,
"",Base and,UK.163,
"",accelerator,UK.517,
"",dichromate,NA.87,
"",catalyst,,
"",(DTD900/4868),,
"",(MSRR 9144),,
"",(R-R code VABE),,
"________________________________________________________________________________",,,
MSRR9144 Polysulphide,PR1422-B1/2,UK.10,8/136B
compound,Two pack mix,UK.6,
"",Base and,UK.163,
"",accelerator,NA.87,
"",dichromate,,
"",catalyst,,
"",(MSRR 9144),,
"",(R-R code VABE),,
"________________________________________________________________________________",,,
MSRR9144 Polysulphide,PR1440-B2,UK.10,8/219
compound,Two part sealer,UK.6,
"",SAE-AMS-S-8802,UK.163,
"",Class B,UK.273,
"",(AFS1910 DTD,UK.517,
"",900/6138),NA.87,
"",(MSRR 9144),,
"",R-R code VABF,,
"SRR9144PolysulphidePR1440B-1/2UK.108/2CompoundTwo pack mixUK.6Base andUK.163acceleratorUK.273(MSRR 9144)uk.517(R-R code VABF)NA.87_________________________________________________________________________"
""
"SRR9144PolysulphidePR1440B-1/2UK.108/2CompoundTwo pack mixUK.6Base andUK.163acceleratorUK.273(MSRR 9144)uk.517(R-R code VABF)NA.87_________________________________________________________________________",
"",
""
"SRR9146Cold curingSilcoset 158UK.10872silicone rubberMSRR 9146UK.175(black)UK.441UK.517NA.2_________________________________________________________________________"
""
""
""
MSRR9147 Catalyst,DOW CORNING,UK.10,849
"",N.9162,UK.6,
"",(MSRR 9147),UK.53,
"",,UK.104,
"",,UK.517,
"",,NA.27,
"",,NA.218,
"",,AUS.8,
"",,AS.18,
"",,AS.19,
"",,EU.42,
"",,SA.8,
"________________________________________________________________________________",,,
MSRR9149 Hardener,Aradur 22962,UK.10,8/19
"",(100 percent,UK.517,
"",IPD),EU.74,
"",(MSRR 9149),,
"________________________________________________________________________________",,,
MSRR9150 Epoxy core,EC3500-2,UK.10,8/62A
splicing,Part A and B,UK.6,
adhesive,EC3500 B/A,UK.108,
"",MSRR 9150,UK.517,
"",(R-R Code VGA),UK.575,
"",,NA.70,
"",,NA.2,
"",,EU.95,
"________________________________________________________________________________",,,
MSRR9150 Epoxy core,EC3500-2 PMF,UK.10,8/62C
splicing,MSRR 9150,UK.6,
adhesive,R-R code VGA,UK.108,
"",,UK.517,
"",,UK.575,
"",,NA.70,
"",,NA.2,
"",,EU.95,
"________________________________________________________________________________",,,
MSRR9160 Resin,Aralok 210,UK.10,8/35
"",MSRR 9160,UK.181,
"",,UK.591,
"________________________________________________________________________________",,,
MSRR9164 Polyimide resin,Keramid 601,UK.6,
"",,UK.517,
"________________________________________________________________________________",,,
MSRR9167 Rigid,Nilflam foam,UK.592,
isocyanurate foam,,,
MSRR9170 Hardener,Aradur 976-1,UK.10,8/10A
"",(MSRR 9170),UK.261,
"",,UK.273,
"",,NA.89,
"",,NA.2,
"",,EU.74,
"_________________________________________________________________________________",,,
MSRR9170 Hardener,Roussel Labs,UK.10,8/10B
"",Dapsone,UK.593,
"",Techinical,,
"",(MSRR 9170),,
"_________________________________________________________________________________",,,
MSRR9170 Hardener,HT 9664,UK.10,8/10D
"",(MSRR 9170),UK.261,
"",,UK.273,
"",,NA.89,
"",,NA.2,
"",,EU.74,
"_________________________________________________________________________________",,,
MSRR9171 Adipic acid,Adipic acid,UK.209,
"",,UK.125,
"_________________________________________________________________________________",,,
MSRR9173 Nylon/Molybdenum,Nylon,UK.594,
disulphide anti,11/Molybdenum,,
wear coating,disulphide,,
"",coating,,
"_________________________________________________________________________________",,,
MSRR9174 Film adhesive,Redux 319,UK.10,8/102
"",(MSRR 9174),UK.6,
"",,UK.48,
"",,UK.273,
"",,UK.453,
"",,UK.517,
"_________________________________________________________________________________",,,
MSRR9175 Adhesive epoxy,Redux 219/2NA,UK.6,
film,,UK.48,
"",,UK.453,
"",,UK.517,
"_________________________________________________________________________________",,,
MSRR9176 Water based,PL134/R2,UK.10,7/75
Ceramic paint,(MSRR 9176),UK.261,
